  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20141001.080000    -1.01    -0.74   155.49     0.15     0.00     2.54     2.65
 20141001.090000    -1.42    -0.65   151.77     0.15     0.00     2.55     2.66
 20141001.100000    -1.86    -0.27   147.79     0.15     0.00     2.56     3.00
 20141001.110000    -2.12     0.57   141.74     0.15     0.00     2.50     3.07
 20141001.120000    -1.72     1.84   130.48     0.18     0.00     2.13     3.14
 20141001.130000    -0.24     2.82   138.50     0.19     0.00     2.14     3.22
 20141001.140000     1.65     2.68   153.55     0.20     0.00     2.10     2.28
 20141001.150000     1.58     2.29   164.41     0.21     0.00     2.10     2.12
 20141001.160000     1.52     1.87   168.99     0.20     0.00     2.12     2.13
 20141001.170000     1.46     1.42   170.97     0.20     0.00     2.18     2.15
 20141001.180000     1.41     0.89   170.14     0.19     0.00     2.26     2.16
 20141001.190000     1.29     0.16   169.27     0.18     0.00     2.31     2.16
 20141001.200000     0.49    -0.79   168.48     0.17     0.00     2.35     2.16
 20141001.210000     0.29    -0.95   167.51     0.17     0.00     2.38     2.15
 20141001.220000     0.01    -1.07   166.30     0.16     0.00     2.41     2.14
 20141001.230000    -0.34    -1.08   164.81     0.16     0.00     2.44     2.14
 20141002.000000    -0.70    -0.98   162.91     0.15     0.00     2.46     2.13
 20141002.010000    -1.03    -0.75   160.46     0.15     0.00     2.49     2.13
 20141002.020000    -1.26    -0.45   157.36     0.15     0.00     2.53     2.13
 20141002.030000    -1.36    -0.54   153.58     0.15     0.00     2.57     2.13
 20141002.040000    -1.45    -0.64   149.12     0.15     0.00     2.61     2.13
 20141002.050000    -1.55    -0.73   144.07     0.15     0.00     2.66     2.14
 20141002.060000    -1.64    -0.82   138.75     0.15     0.00     2.70     3.71
 20141002.070000    -1.73    -0.91   133.77     0.15     0.00     2.71     3.76
 20141002.080000    -1.82    -1.00   129.21     0.16     0.00     2.70     3.84
 20141002.090000    -1.86    -1.14   123.37     0.17     0.00     2.65     3.93
 20141002.100000    -1.86    -1.32   114.47     0.18     0.00     2.49     4.00
 20141002.110000    -1.76    -1.60   110.28     0.20     0.00     2.44     4.07
 20141002.120000    -1.40    -2.05   108.43     0.20     0.00     2.53     4.12
 20141002.130000     0.12    -2.59   107.08     0.20     0.00     2.61     4.18
 20141002.140000     2.54     0.88   112.13     0.20     0.00     2.70     4.24
 20141002.150000     2.42     0.57   127.27     0.21     0.00     2.59     4.31
 20141002.160000     2.28     0.21   126.34     0.21     0.00     2.77     4.36
 20141002.170000     2.07    -0.21   126.29     0.21     0.00     2.89     4.40
 20141002.180000     1.74    -0.71   126.39     0.21     0.00     2.99     4.44
 20141002.190000     1.16    -1.21   126.27     0.21     0.00     3.09     4.47
 20141002.200000     0.23    -1.46   126.04     0.21     0.00     3.19     4.51
 20141002.210000     0.07    -1.39   125.62     0.21     0.00     3.28     4.56
 20141002.220000    -0.10    -1.31   125.02     0.22     0.00     3.36     4.62
 20141002.230000    -0.27    -1.21   124.23     0.22     0.00     3.44     4.70
 20141003.000000    -0.45    -1.07   123.31     0.22     0.00     3.52     4.79
 20141003.010000    -0.62    -0.89   122.34     0.23     0.00     3.59     4.89
 20141003.020000    -0.76    -0.67   121.41     0.23     0.00     3.66     5.01
 20141003.030000    -0.71    -0.83   120.58     0.24     0.00     3.72     5.17
 20141003.040000    -0.64    -0.99   119.84     0.24     0.00     3.78     5.30
 20141003.050000    -0.56    -1.14   119.14     0.25     0.00     3.82     5.38
 20141003.060000    -0.48    -1.27   118.49     0.25     0.00     3.86     5.44
 20141003.070000    -0.39    -1.39   117.99     0.25     0.00     3.89     5.50
 20141003.080000    -0.29    -1.50   117.63     0.25     0.00     3.92     5.55
 20141003.090000     0.21    -1.72   117.34     0.25     0.00     3.95     5.59
 20141003.100000     0.85    -1.75   116.95     0.25     0.00     3.96     5.62
 20141003.110000     1.52    -1.51   116.51     0.26     0.00     3.91     5.65
 20141003.120000     2.10    -1.06   118.42     0.28     0.00     3.42     5.69
 20141003.130000     2.52    -0.46   125.29     0.30     0.00     3.29     5.72
 20141003.140000     2.76     0.20   133.78     0.30     0.00     3.28     5.75
 20141003.150000     2.61     0.39   142.81     0.30     0.00     3.23     5.76
 20141003.160000     2.44     0.64   152.26     0.30     0.00     3.19     5.78
 20141003.170000     2.17     1.00   162.42     0.31     0.00     3.15     5.79
 20141003.180000     1.66     1.55   171.22     0.31     0.00     3.13     5.80
 20141003.190000     0.34     2.12   175.68     0.31     0.00     3.11     5.80
 20141003.200000    -1.81     0.89   173.23     0.31     0.00     3.12     5.81
 20141003.210000    -1.83     0.74   169.62     0.31     0.00     3.14     5.81
 20141003.220000    -1.84     0.57   166.51     0.30     0.00     3.16     2.67
 20141003.230000    -1.83     0.40   163.84     0.30     0.00     3.18     2.71
 20141004.000000    -1.81     0.23   161.26     0.30     0.00     3.19     2.76
 20141004.010000    -1.78     0.05   158.97     0.30     0.00     3.19     2.79
 20141004.020000    -1.73    -0.13   156.89     0.29     0.00     3.20     2.82
 20141004.030000    -1.72    -0.36   154.88     0.29     0.00     3.21     2.84
 20141004.040000    -1.69    -0.59   152.93     0.29     0.00     3.22     2.86
 20141004.050000    -1.63    -0.81   151.08     0.29     0.00     3.23     2.88
 20141004.060000    -1.53    -1.03   149.35     0.29     0.00     3.23     2.90
 20141004.070000    -1.41    -1.24   147.67     0.29     0.00     3.24     2.91
 20141004.080000    -1.27    -1.42   145.87     0.29     0.00     3.23     2.92
 20141004.090000    -1.33    -1.25   144.64     0.29     0.00     3.22     2.92
 20141004.100000    -1.41    -1.03   144.26     0.28     0.00     3.22     2.92
 20141004.110000    -1.50    -0.70   144.29     0.28     0.00     3.22     2.92
 20141004.120000    -1.57    -0.15   144.49     0.27     0.00     3.22     2.92
 20141004.130000    -1.27     0.79   144.69     0.27     0.00     3.21     2.91
 20141004.140000     0.16     1.40   144.82     0.26     0.00     3.20     2.90
 20141004.150000    -0.38     1.61   144.83     0.26     0.00     3.20     2.89
 20141004.160000    -1.02     1.59   144.74     0.25     0.00     3.18     2.89
 20141004.170000    -1.65     1.35   144.19     0.25     0.00     3.14     2.88
 20141004.180000    -2.17     0.94   142.46     0.25     0.00     3.03     2.86
 20141004.190000    -2.57     0.44   139.71     0.26     0.00     2.90     2.81
 20141004.200000    -2.85    -0.09   136.82     0.27     0.00     2.80     2.72
 20141004.210000    -2.67    -0.22   135.27     0.28     0.00     2.76     2.71
 20141004.220000    -2.48    -0.36   134.42     0.29     0.00     2.77     2.80
 20141004.230000    -2.28    -0.49   134.22     0.29     0.00     2.81     2.92
 20141005.000000    -2.07    -0.62   134.82     0.29     0.00     2.89     3.09
 20141005.010000    -1.84    -0.75   135.46     0.29     0.00     2.98     3.28
 20141005.020000    -1.60    -0.88   135.84     0.29     0.00     3.05     3.45
 20141005.030000    -1.65    -1.10   135.85     0.29     0.00     3.08     3.62
 20141005.040000    -1.69    -1.33   135.35     0.28     0.00     3.09     3.70
 20141005.050000    -1.73    -1.55   133.63     0.28     0.00     3.05     3.78
 20141005.060000    -1.75    -1.76   130.37     0.29     0.00     2.96     3.85
 20141005.070000    -1.77    -1.97   128.61     0.29     0.00     2.93     3.91
 20141005.080000    -1.79    -2.17   127.69     0.29     0.00     2.93     3.94
 20141005.090000    -1.97    -2.00   126.88     0.29     0.00     2.93     3.93
 20141005.100000    -2.14    -1.82   126.25     0.29     0.00     2.93     3.84
 20141005.110000    -2.30    -1.62   125.42     0.30     0.01     2.94     3.75
 20141005.120000    -2.44    -1.40   125.26     0.31     0.01     2.98     3.72
 20141005.130000    -2.56    -1.17   125.71     0.32     0.01     3.05     3.76
 20141005.140000    -2.66    -0.92   126.09     0.33     0.01     3.14     3.86
 20141005.150000    -2.86    -1.10   125.74     0.35     0.01     3.23     4.03
 20141005.160000    -3.07    -1.27   124.66     0.38     0.01     3.33     4.23
 20141005.170000    -3.27    -1.44   123.24     0.41     0.02     3.42     4.44
 20141005.180000    -3.47    -1.61   121.68     0.45     0.02     3.51     4.64
 20141005.190000    -3.67    -1.78   120.15     0.50     0.02     3.60     4.84
 20141005.200000    -3.87    -1.95   118.70     0.55     0.02     3.69     5.01
 20141005.210000    -3.79    -1.99   117.69     0.60     0.03     3.77     5.27
 20141005.220000    -3.70    -2.03   117.38     0.64     0.03     3.91     5.43
 20141005.230000    -3.61    -2.07   117.20     0.67     0.03     4.05     5.69
 20141006.000000    -3.52    -2.10   116.98     0.69     0.03     4.16     5.85
 20141006.010000    -3.43    -2.14   116.69     0.71     0.04     4.25     5.97
 20141006.020000    -3.33    -2.18   116.42     0.72     0.04     4.32     6.11
 20141006.030000    -3.09    -2.26   116.28     0.73     0.04     4.39     6.32
 20141006.040000    -2.83    -2.34   116.25     0.73     0.04     4.45     6.42
 20141006.050000    -2.57    -2.41   116.33     0.74     0.05     4.52     6.53
 20141006.060000    -2.29    -2.47   116.52     0.74     0.05     4.59     6.64
 20141006.070000    -2.00    -2.52   116.77     0.75     0.05     4.67     6.77
 20141006.080000    -1.69    -2.55   117.08     0.76     0.06     4.75     6.94
 20141006.090000    -1.55    -2.23   117.53     0.77     0.06     4.84     7.03
 20141006.100000    -1.41    -1.90   118.81     0.78     0.07     4.97     7.11
 20141006.110000    -1.26    -1.58   120.01     0.78     0.08     5.11     7.18
 20141006.120000    -1.12    -1.25   120.92     0.78     0.08     5.22     7.25
 20141006.130000    -0.97    -0.92   121.51     0.79     0.09     5.31     7.31
 20141006.140000    -0.81    -0.57   121.93     0.80     0.09     5.37     7.37
 20141006.150000    -1.08    -0.94   122.31     0.80     0.10     5.41     7.41
 20141006.160000    -1.34    -1.30   122.68     0.81     0.10     5.43     7.45
 20141006.170000    -1.60    -1.66   123.03     0.81     0.11     5.44     7.47
 20141006.180000    -1.86    -2.02   123.24     0.82     0.11     5.42     7.48
 20141006.190000    -2.12    -2.38   123.27     0.82     0.11     5.38     7.48
 20141006.200000    -2.38    -2.74   123.00     0.82     0.11     5.32     7.47
 20141006.210000    -2.23    -2.73   122.83     0.83     0.11     5.25     7.47
 20141006.220000    -2.07    -2.71   122.98     0.83     0.11     5.21     7.47
 20141006.230000    -1.92    -2.70   123.32     0.83     0.11     5.18     7.48
 20141007.000000    -1.75    -2.67   123.71     0.83     0.11     5.16     7.49
 20141007.010000    -1.59    -2.65   124.14     0.82     0.11     5.14     7.50
 20141007.020000    -1.42    -2.62   124.62     0.82     0.11     5.12     7.52
 20141007.030000    -1.44    -2.64   125.13     0.81     0.11     5.09     7.52
 20141007.040000    -1.46    -2.67   125.66     0.80     0.11     5.05     7.51
 20141007.050000    -1.48    -2.69   126.21     0.79     0.11     5.00     7.46
 20141007.060000    -1.49    -2.72   126.75     0.78     0.11     4.95     7.38
 20141007.070000    -1.51    -2.75   127.22     0.78     0.11     4.91     7.28
 20141007.080000    -1.53    -2.77   127.56     0.77     0.10     4.88     7.17
 20141007.090000    -1.93    -2.59   127.71     0.77     0.11     4.87     7.09
 20141007.100000    -2.30    -2.35   127.67     0.77     0.11     4.87     7.04
 20141007.110000    -2.65    -2.05   127.43     0.78     0.11     4.89     7.02
 20141007.120000    -2.96    -1.70   126.99     0.79     0.12     4.92     7.02
 20141007.130000    -3.21    -1.32   126.46     0.80     0.13     4.96     7.03
 20141007.140000    -3.42    -0.92   125.95     0.81     0.13     5.00     7.04
 20141007.150000    -3.53    -0.96   125.52     0.82     0.14     5.03     7.03
 20141007.160000    -3.65    -1.00   125.18     0.83     0.14     5.06     7.02
 20141007.170000    -3.76    -1.04   124.93     0.85     0.15     5.09     7.01
 20141007.180000    -3.88    -1.08   124.78     0.85     0.15     5.10     7.01
 20141007.190000    -3.99    -1.12   124.70     0.86     0.16     5.11     7.01
 20141007.200000    -4.11    -1.16   124.67     0.87     0.16     5.11     7.01
 20141007.210000    -4.04    -1.41   124.68     0.87     0.16     5.12     7.01
 20141007.220000    -3.95    -1.66   124.69     0.88     0.17     5.14     7.02
 20141007.230000    -3.85    -1.91   124.67     0.88     0.18     5.17     7.04
 20141008.000000    -3.73    -2.15   124.60     0.89     0.18     5.20     7.06
 20141008.010000    -3.59    -2.39   124.48     0.90     0.19     5.23     7.09
 20141008.020000    -3.45    -2.61   124.30     0.91     0.20     5.27     7.14
 20141008.030000    -3.10    -2.65   124.32     0.91     0.20     5.32     7.22
 20141008.040000    -2.75    -2.69   124.52     0.92     0.21     5.38     7.34
 20141008.050000    -2.37    -2.71   124.85     0.92     0.22     5.45     7.52
 20141008.060000    -1.98    -2.72   125.28     0.93     0.22     5.51     7.71
 20141008.070000    -1.57    -2.70   125.86     0.93     0.23     5.56     7.82
 20141008.080000    -1.13    -2.65   126.58     0.92     0.23     5.60     7.92
 20141008.090000    -1.01    -2.58   127.34     0.92     0.23     5.63     8.01
 20141008.100000    -0.85    -2.52   128.09     0.92     0.23     5.64     8.09
 20141008.110000    -0.63    -2.47   128.87     0.92     0.23     5.65     8.17
 20141008.120000    -0.22    -2.42   129.67     0.91     0.23     5.65     8.24
 20141008.130000     0.85    -2.16   130.88     0.90     0.23     5.69     8.29
 20141008.140000     1.25     1.82   131.93     0.89     0.22     5.70     8.33
 20141008.150000     1.34     1.93   132.77     0.89     0.22     5.70     8.35
 20141008.160000     1.44     2.03   133.44     0.88     0.21     5.69     8.34
 20141008.170000     1.54     2.13   134.06     0.87     0.21     5.67     8.31
 20141008.180000     1.63     2.23   134.68     0.87     0.20     5.64     8.26
 20141008.190000     1.73     2.34   135.35     0.86     0.20     5.59     8.19
 20141008.200000     1.83     2.44   136.10     0.86     0.19     5.54     8.11
 20141008.210000     1.52     2.19   136.75     0.85     0.18     5.49     8.02
 20141008.220000     1.20     1.94   137.33     0.84     0.17     5.44     7.91
 20141008.230000     0.88     1.68   137.87     0.83     0.16     5.39     7.79
 20141009.000000     0.55     1.42   138.42     0.83     0.15     5.33     7.67
 20141009.010000     0.19     1.12   139.01     0.82     0.14     5.28     6.81
 20141009.020000    -0.19     0.73   139.69     0.80     0.13     5.21     6.55
 20141009.030000    -0.86     0.74   140.49     0.79     0.13     5.15     6.37
 20141009.040000    -1.46     0.39   141.42     0.78     0.12     5.08     5.95
 20141009.050000    -1.88    -0.11   142.46     0.76     0.11     5.01     5.59
 20141009.060000    -2.18    -0.63   143.56     0.75     0.10     4.94     5.36
 20141009.070000    -2.38    -1.14   144.52     0.73     0.09     4.86     5.24
 20141009.080000    -2.54    -1.64   145.22     0.72     0.09     4.77     5.18
 20141009.090000    -2.72    -1.31   145.89     0.71     0.08     4.68     5.14
 20141009.100000    -2.91    -0.82   146.53     0.70     0.07     4.60     5.11
 20141009.110000    -3.02    -0.03   147.15     0.69     0.07     4.54     5.08
 20141009.120000    -2.77     1.18   147.81     0.67     0.06     4.48     5.05
 20141009.130000    -1.50     2.62   148.62     0.66     0.06     4.43     5.03
 20141009.140000     1.00     2.84   149.85     0.65     0.05     4.39     5.02
 20141009.150000     1.19     2.56   150.83     0.64     0.05     4.34     5.00
 20141009.160000     1.37     2.25   151.49     0.63     0.05     4.30     4.98
 20141009.170000     1.55     1.89   152.04     0.62     0.04     4.27     4.97
 20141009.180000     1.71     1.48   152.63     0.61     0.04     4.25     4.94
 20141009.190000     1.81     1.01   153.41     0.61     0.04     4.22     4.92
 20141009.200000     1.82     0.47   154.43     0.60     0.04     4.19     4.89
 20141009.210000     1.68     0.40   155.85     0.59     0.03     4.15     4.83
 20141009.220000     1.54     0.32   157.77     0.59     0.03     4.12     4.70
 20141009.230000     1.40     0.23   160.15     0.59     0.03     4.09     4.57
 20141010.000000     1.26     0.10   162.55     0.59     0.03     4.07     4.52
 20141010.010000     1.09    -0.22   164.42     0.58     0.03     4.05     4.49
 20141010.020000    -0.87    -0.39   165.38     0.58     0.03     4.04     4.48
 20141010.030000    -1.00    -0.48   165.39     0.57     0.03     4.02     4.47
 20141010.040000    -1.13    -0.57   164.66     0.56     0.03     4.00     4.46
 20141010.050000    -1.26    -0.66   163.49     0.55     0.03     3.98     4.45
 20141010.060000    -1.39    -0.76   162.19     0.53     0.03     3.96     4.44
 20141010.070000    -1.52    -0.85   160.95     0.52     0.03     3.94     4.44
 20141010.080000    -1.65    -0.94   159.86     0.52     0.03     3.92     4.44
 20141010.090000    -2.07    -0.71   158.78     0.51     0.03     3.89     4.43
 20141010.100000    -2.47    -0.18   157.57     0.51     0.03     3.86     4.42
