  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20150401.080000    -1.25     0.06   134.52     0.47     0.00     4.35     4.96
 20150401.090000    -1.50     0.53   134.96     0.47     0.00     4.36     4.96
 20150401.100000    -1.65     1.00   135.44     0.46     0.00     4.36     4.96
 20150401.110000    -1.74     1.44   135.94     0.46     0.00     4.34     4.96
 20150401.120000    -1.80     1.88   136.46     0.46     0.00     4.26     4.96
 20150401.130000    -1.84     2.28   137.26     0.47     0.00     4.18     4.94
 20150401.140000    -1.86     2.68   138.25     0.47     0.00     4.09     4.93
 20150401.150000    -1.69     2.92   139.61     0.47     0.00     4.01     4.91
 20150401.160000    -1.51     3.15   141.22     0.48     0.00     3.92     4.89
 20150401.170000    -1.32     3.36   143.07     0.48     0.00     3.84     4.86
 20150401.180000    -1.11     3.55   145.12     0.48     0.00     3.75     4.83
 20150401.190000    -0.90     3.73   147.40     0.49     0.00     3.67     4.80
 20150401.200000    -0.68     3.90   149.73     0.49     0.00     3.59     4.77
 20150401.210000    -0.60     3.57   151.53     0.50     0.00     3.54     4.74
 20150401.220000    -0.51     3.25   152.77     0.50     0.00     3.51     4.70
 20150401.230000    -0.43     2.92   153.73     0.49     0.00     3.49     4.64
 20150402.000000    -0.34     2.59   154.38     0.49     0.00     3.50     4.58
 20150402.010000    -0.25     2.27   154.88     0.48     0.00     3.51     4.52
 20150402.020000    -0.16     1.94   155.37     0.47     0.00     3.54     4.47
 20150402.030000    -0.22     1.71   155.88     0.47     0.00     3.56     4.42
 20150402.040000    -0.29     1.47   156.24     0.46     0.00     3.59     4.38
 20150402.050000    -0.36     1.21   156.53     0.45     0.00     3.64     4.35
 20150402.060000    -0.43     0.93   156.74     0.45     0.00     3.69     4.33
 20150402.070000    -0.50     0.62   156.85     0.44     0.00     3.73     4.31
 20150402.080000    -0.50     0.22   156.80     0.44     0.00     3.76     4.30
 20150402.090000    -0.71     0.54   156.53     0.44     0.00     3.80     4.29
 20150402.100000    -0.89     0.86   156.07     0.44     0.00     3.83     4.30
 20150402.110000    -1.06     1.16   155.47     0.44     0.00     3.87     4.31
 20150402.120000    -1.23     1.47   154.77     0.45     0.00     3.90     4.33
 20150402.130000    -1.40     1.77   154.04     0.45     0.00     3.91     4.34
 20150402.140000    -1.56     2.06   153.35     0.46     0.00     3.90     4.35
 20150402.150000    -1.43     2.43   153.07     0.47     0.00     3.87     4.35
 20150402.160000    -1.29     2.78   153.16     0.48     0.00     3.84     4.36
 20150402.170000    -1.12     3.10   153.67     0.48     0.00     3.80     4.36
