  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20090101.080000    -7.03   -12.78   241.19     0.85     0.00     2.95     3.24
 20090101.110000    -7.44   -10.95   238.80     1.08     0.00     3.81     4.57
 20090101.140000    -7.85    -9.12    43.19     1.43     0.00     3.97     4.42
 20090101.170000    -8.94    -9.52    56.92     2.00     0.02     4.99     5.58
 20090101.200000   -10.02    -9.91    60.66     2.53     0.14     5.75     6.53
 20090101.230000   -10.22   -10.52    60.47     2.94     0.43     6.28     7.15
 20090102.020000   -10.43   -11.13    59.53     3.18     0.62     6.53     7.44
 20090102.050000    -9.51   -11.13    58.87     3.14     0.64     6.49     7.45
 20090102.080000    -8.59   -11.13    58.11     2.97     0.55     6.28     7.27
 20090102.110000    -8.77   -10.15    58.23     2.81     0.46     6.07     7.03
 20090102.140000    -8.95    -9.17    59.10     2.67     0.39     5.90     6.83
 20090102.170000    -9.80    -8.37    60.22     2.61     0.33     5.80     6.72
 20090102.200000   -10.65    -7.55    61.40     2.63     0.30     5.81     6.73
 20090102.230000    -9.64    -8.48    60.98     2.60     0.29     5.79     6.76
 20090103.020000    -8.63    -9.41    59.92     2.51     0.26     5.68     6.67
 20090103.050000    -8.09    -9.37    59.18     2.40     0.23     5.52     6.54
 20090103.080000    -7.56    -9.33    58.34     2.25     0.19     5.36     6.35
 20090103.110000    -7.50    -8.49    58.68     2.06     0.16     5.20     6.14
 20090103.140000    -7.46    -7.65    60.16     1.88     0.12     5.01     5.95
 20090103.170000    -7.27    -7.27    61.06     1.74     0.09     4.81     5.72
 20090103.200000    -7.09    -6.88    61.68     1.63     0.07     4.64     5.54
 20090103.230000    -8.41    -6.88    62.53     1.66     0.06     4.64     5.45
 20090104.020000    -9.73    -6.87    64.30     1.85     0.06     4.92     5.62
 20090104.050000    -7.37    -7.49    64.29     1.82     0.06     4.98     5.91
 20090104.080000    -5.02    -8.11    62.44     1.62     0.06     4.73     5.81
 20090104.110000    -6.23    -7.51    61.26     1.51     0.06     4.54     5.46
 20090104.140000    -7.46    -6.91    62.86     1.55     0.05     4.57     5.38
 20090104.170000    -7.87    -5.92    65.36     1.57     0.05     4.65     5.49
 20090104.200000    -8.28    -4.92    67.12     1.56     0.04     4.65     5.52
 20090104.230000    -7.87    -6.14    66.39     1.57     0.04     4.67     5.53
 20090105.020000    -7.46    -7.37    64.67     1.63     0.04     4.77     5.59
 20090105.050000    -6.60    -8.43    62.61     1.68     0.04     4.83     5.68
